"","Time","F1","F2","F3","Word","VClass","N","RTime"
"100",0.027697,660.31,1286.183,2816.895,"Snyder216","ay0",2,0.0153846153846154
"101",0.029697,692.197,1298.448,2858.142,"Snyder216","ay0",2,0.0307692307692308
"102",0.031697,715.641,1305.025,2875.005,"Snyder216","ay0",2,0.0461538461538462
"103",0.033697,722.984,1304.9,2882.933,"Snyder216","ay0",2,0.0615384615384615
"104",0.035697,723.63,1303.489,2884.507,"Snyder216","ay0",2,0.0769230769230769
"105",0.037697,726.807,1305.094,2873.439,"Snyder216","ay0",2,0.0923076923076923
"106",0.039697,735.575,1308.362,2841.225,"Snyder216","ay0",2,0.107692307692308
"107",0.041697,743.816,1310.663,2798.61,"Snyder216","ay0",2,0.123076923076923
"108",0.043697,747.093,1312.814,2783.596,"Snyder216","ay0",2,0.138461538461538
"109",0.045697,747.841,1317.354,2794.46,"Snyder216","ay0",2,0.153846153846154
"110",0.047697,752.233,1329.363,2812.901,"Snyder216","ay0",2,0.169230769230769
"111",0.049697,767.037,1349.824,2815.905,"Snyder216","ay0",2,0.184615384615385
"112",0.051697,782.446,1365.119,2806.956,"Snyder216","ay0",2,0.2
"113",0.053697,785.668,1368.14,2799.754,"Snyder216","ay0",2,0.215384615384615
"114",0.055697,781.449,1365.652,2799.189,"Snyder216","ay0",2,0.230769230769231
"115",0.057697,777.414,1364.781,2808.305,"Snyder216","ay0",2,0.246153846153846
"116",0.059697,774.603,1366.387,2827.604,"Snyder216","ay0",2,0.261538461538462
"117",0.061697,767.442,1365.494,2858.372,"Snyder216","ay0",2,0.276923076923077
"118",0.063697,757.671,1363.748,2910.825,"Snyder216","ay0",2,0.292307692307692
"119",0.065697,750.959,1368.317,2946.688,"Snyder216","ay0",2,0.307692307692308
"120",0.067697,749.475,1380.078,2441.424,"Snyder216","ay0",2,0.323076923076923
"121",0.069697,749.701,1389.567,2198.361,"Snyder216","ay0",2,0.338461538461538
"122",0.071697,747.328,1392.885,2095.734,"Snyder216","ay0",2,0.353846153846154
"123",0.073697,742.064,1393.07,2071.937,"Snyder216","ay0",2,0.369230769230769
"124",0.075697,734.56,1393.196,2093.916,"Snyder216","ay0",2,0.384615384615385
"125",0.077697,728.936,1397.039,2155.955,"Snyder216","ay0",2,0.4
"126",0.079697,729.253,1406.967,2271.054,"Snyder216","ay0",2,0.415384615384615
"127",0.081697,730.209,1418.91,2429.114,"Snyder216","ay0",2,0.430769230769231
"128",0.083697,728.431,1435.309,2618.58,"Snyder216","ay0",2,0.446153846153846
"129",0.085697,726.01,1465.393,2989.473,"Snyder216","ay0",2,0.461538461538462
"130",0.087697,727.012,1500.312,2961.816,"Snyder216","ay0",2,0.476923076923077
"131",0.089697,728.502,1520.394,2962.648,"Snyder216","ay0",2,0.492307692307692
"132",0.091697,725.398,1530.395,2979.214,"Snyder216","ay0",2,0.507692307692308
"133",0.093697,719.085,1540.041,2967.928,"Snyder216","ay0",2,0.523076923076923
"134",0.095697,713.283,1555.329,2897.404,"Snyder216","ay0",2,0.538461538461539
"135",0.097697,712.461,1574.196,2842.093,"Snyder216","ay0",2,0.553846153846154
"136",0.099697,711.994,1563.996,2788.382,"Snyder216","ay0",2,0.569230769230769
"137",0.101697,705.246,1476.717,2694.501,"Snyder216","ay0",2,0.584615384615385
"138",0.103697,694.858,1433.396,2627.349,"Snyder216","ay0",2,0.6
"139",0.105697,687.763,1482.81,2657.097,"Snyder216","ay0",2,0.615384615384615
"140",0.107697,688.323,1574.52,2676.681,"Snyder216","ay0",2,0.63076923076923
"141",0.109697,690.102,1629.542,2670.922,"Snyder216","ay0",2,0.646153846153846
"142",0.111697,688.865,1666.422,2658.538,"Snyder216","ay0",2,0.661538461538462
"143",0.113697,685.37,1725.706,2641.203,"Snyder216","ay0",2,0.676923076923077
"144",0.115697,681.886,1781.255,2622.525,"Snyder216","ay0",2,0.692307692307692
"145",0.117697,679.206,1804.658,2609.097,"Snyder216","ay0",2,0.707692307692308
"146",0.119697,675.486,1800.127,2598.96,"Snyder216","ay0",2,0.723076923076923
"147",0.121697,670.169,1773.177,2587.967,"Snyder216","ay0",2,0.738461538461539
"148",0.123697,663.857,1762.996,2612.855,"Snyder216","ay0",2,0.753846153846154
"149",0.125697,661.181,1806.888,2710.016,"Snyder216","ay0",2,0.769230769230769
"150",0.127697,663.418,1838.244,2755.031,"Snyder216","ay0",2,0.784615384615385
"151",0.129697,665.344,1850.277,2762.462,"Snyder216","ay0",2,0.8
"152",0.131697,664.831,1856.354,2755.799,"Snyder216","ay0",2,0.815384615384615
"153",0.133697,663.526,1861.487,2740.771,"Snyder216","ay0",2,0.830769230769231
"154",0.135697,662.954,1870.316,2727.487,"Snyder216","ay0",2,0.846153846153846
"155",0.137697,661.528,1887.118,2729.671,"Snyder216","ay0",2,0.861538461538462
"156",0.139697,658.835,1914.886,2759.701,"Snyder216","ay0",2,0.876923076923077
"157",0.141697,656.354,1953.727,2828.442,"Snyder216","ay0",2,0.892307692307692
"158",0.143697,654.137,1992.357,2915.889,"Snyder216","ay0",2,0.907692307692308
"159",0.145697,649.2,2025.292,2970.619,"Snyder216","ay0",2,0.923076923076923
"160",0.147697,641.202,2057.467,2990.427,"Snyder216","ay0",2,0.938461538461538
"161",0.149697,631.088,2087.308,2997.387,"Snyder216","ay0",2,0.953846153846154
"162",0.151697,618.773,2096.689,2960.092,"Snyder216","ay0",2,0.96923076923077
"163",0.153697,610.615,2081.265,2834.349,"Snyder216","ay0",2,0.984615384615385
"164",0.155697,609.567,2064.577,2715.636,"Snyder216","ay0",2,1
"165",0.025091,573.684,1478.74,2506.772,"neighborhood81","u",3,0
"166",0.027091,574.341,1480.09,2510.978,"neighborhood81","u",3,0.0172413793103448
"167",0.029091,574.43,1484.346,2510.986,"neighborhood81","u",3,0.0344827586206897
"168",0.031091,574.165,1490.371,2505.682,"neighborhood81","u",3,0.0517241379310345
"169",0.033091,573.96,1496.426,2498.164,"neighborhood81","u",3,0.0689655172413794
"170",0.035091,573.636,1504.104,2492.848,"neighborhood81","u",3,0.0862068965517241
"171",0.037091,572.896,1511.677,2491.674,"neighborhood81","u",3,0.103448275862069
"172",0.039091,572.177,1514.956,2494.576,"neighborhood81","u",3,0.120689655172414
"173",0.041091,571.789,1515.082,2498.875,"neighborhood81","u",3,0.137931034482759
"174",0.043091,571.513,1515.581,2502.318,"neighborhood81","u",3,0.155172413793103
"175",0.045091,571.371,1516.477,2506.546,"neighborhood81","u",3,0.172413793103448
