Begin	end	Duration	Label	Num	Dash	Pos
181.0021	183.1678	2.1657	#31	NUM	no	Num
183.1678	183.3515	0.1838	4	no	no	First
183.3515	183.5802	0.2287	6	no	no	Second
183.5802	183.9927	0.4125	4	no	no	Third
183.9927	184.0631	0.0704	-	no	Dash	Dash
184.0631	184.2293	0.1662	4	no	no	Fourth
184.2293	184.458	0.2287	3	no	no	Fifth
184.458	184.7317	0.2737	0	no	no	Sixth
184.7317	184.9858	0.2541	1	no	no	Seventh
184.9858	189.5304	4.5446	#32	NUM	no	Num
189.5304	189.748	0.2176	5	no	no	First
189.748	189.9453	0.1973	8	no	no	Second
189.9453	190.3093	0.3641	1	no	no	Third
190.3093	190.7588	0.4495	-	no	Dash	Dash
190.7588	190.9358	0.1769	1	no	no	Fourth
190.9358	191.1249	0.1891	5	no	no	Fifth
191.1249	191.3649	0.24	2	no	no	Sixth
191.3649	191.6354	0.2705	2	no	no	Seventh
191.6354	194.3754	2.74	#33	NUM	no	Num
194.3754	194.669	0.2936	0	no	no	First
194.669	194.8973	0.2283	3	no	no	Second
194.8973	195.2891	0.3918	0	no	no	Third
195.2891	195.4001	0.111	-	no	Dash	Dash
195.4001	195.6766	0.2765	0	no	no	Fourth
195.6766	195.9029	0.2263	3	no	no	Fifth
195.9029	196.1271	0.2242	6	no	no	Sixth
196.1271	196.3889	0.2619	8	no	no	Seventh
196.3889	199.6492	3.2603	#34	NUM	no	Num
199.6492	199.8162	0.167	3	no	no	First
199.8162	200.035	0.2187	4	no	no	Second
200.035	200.4745	0.4396	0	no	no	Third
200.4745	200.6745	0.2	-	no	Dash	Dash
200.6745	200.9245	0.25	7	no	no	Fourth
200.9245	201.112	0.1875	3	no	no	Fifth
201.112	201.3308	0.2187	1	no	no	Sixth
201.3308	201.7662	0.4354	6	no	no	Seventh
201.7662	204.0308	2.2646	#35	NUM	no	Num
204.0308	204.2601	0.2293	7	no	no	First
204.2601	204.4642	0.2041	0	no	no	Second
204.4642	204.9206	0.4564	9	no	no	Third
204.9206	205.2761	0.3555	-	no	Dash	Dash
205.2761	205.4985	0.2225	0	no	no	Fourth
205.4985	205.7645	0.266	7	no	no	Fifth
205.7645	205.987	0.2225	7	no	no	Sixth
205.987	206.3034	0.3165	5	no	no	Seventh
