*hr.2	ae.2	ah.2	ahr.2	aw.2	ay0.2	ayV.2	e.2	eyC.2	eyr.2	i.2	iw.2	iyC.2	iyr.2	Kuw.2	o.2	oh.2	ohr.2	owC.2	owr.2	oy.2	Tuw.2	u.2	uh.2
1479	1930.86956521739	1412	1446.125	1406.23076923077	761	1534.90909090909	1777.61904761905	2063.4	2071.5	1788	1619	2259.63636363636	NA	1047	1409.77419354839	1262.2	904.142857142857	1151.05	917.333333333333	920	1655	1310.6	1368.53846153846
1524	1881.40384615385	1338	1436.46153846154	1355.42307692308	1317	1477.90476190476	1816.40909090909	2100.90625	1975.66666666667	1812.16279069767	1699.33333333333	2284.32142857143	NA	979.111111111111	1447.1	1123.5625	914.727272727273	1131.85294117647	1040.42857142857	998	1752.75	1162	1374.74074074074
1445.28571428571	2074.52777777778	1395	1352.75	1539.66666666667	NA	1574.66666666667	1886.22727272727	2068.18181818182	2120.5	1990.19047619048	1539.25	2280.16666666667	2325	865.285714285714	1431.19230769231	1248.94444444444	858.6	1222.92307692308	970.4	986	1545	1001.66666666667	1411.75
1311.83333333333	2009.43478260870	1442.5	1308.22222222222	1529.8	NA	1567.8	1730.84	2006.95652173913	2152	1795.25	1718	2156.375	NA	1021.25	1411.45833333333	1223.5	914.166666666667	1193.58333333333	893.8	NA	1691.6	1334.16666666667	1374.94444444444
1417.6	2120.41935483871	NA	1241.25	1562.21052631579	NA	1485.5	1810.5	2064.84615384615	1949	1896.16666666667	1784.5	2425.5	2115.8	962.2	1478.52	1151.40909090909	801.833333333333	1148.25	734.25	NA	1718.2	1058	1434.69230769231
1381.5	1802.73529411765	1175.33333333333	1075	1304.15384615385	1472	1489.8	1690.84210526316	1872.73333333333	1698	1784.16666666667	1679	2119.22222222222	NA	999.333333333333	1330.75	1079.35294117647	881.75	1061.18181818182	914.75	NA	1635	1200.83333333333	1254.1
1599.5	2006.40476190476	1336	1324.4	1505.52941176471	NA	1593.66666666667	1939.55	2094.71428571429	2136.5	2020.64285714286	1750.25	2407.7	1976.5	912	1426.11111111111	1170.73684210526	1018.42857142857	1027.94736842105	808.333333333333	1148	1631	902.5	1286.76923076923
1541	2028.34090909091	1366.66666666667	1336.125	1461.25	1389.5	1549.46153846154	1707.24	2091.17647058824	1965.66666666667	1851.875	1773.66666666667	2261.44444444444	2203	965.5	1492.68421052632	1119.82352941176	982.25	1078.08695652174	897.75	NA	1898	1257.75	1353.22222222222
1603	2024.65	1504	1285	1546.5	NA	1516.2	1810.95	2058.5	1905.5	1975.35	1403.4	2524.71428571429	2561	1016.16666666667	1526.80769230769	1255.24	976.6	1172.3	952.888888888889	879	1616	1059.75	1254.375
1497	1972.92105263158	1370	1371.28571428571	1581.71428571429	1421.5	1399.33333333333	1757.33333333333	2049.61538461538	2037	1837.5625	1971.5	2216.4	1846	959.5	1428	1202.15789473684	1033	1124.2	805	879	1896.4	972	1403.57142857143
