Token,DepVar,Style,GramStatus,Following.Seg,Sex,Age,Ethnicity
something,Ing,soapbox,thing,0,m,6,Italian
doing,Ing,soapbox,progressive,vowel,m,6,Italian
going,In,soapbox,progressive,apical,m,6,Italian
something,Ing,soapbox,thing,0,m,6,Italian
saying,Ing,soapbox,gerund,apical,m,6,Italian
something,In,soapbox,thing,0,m,6,Italian
asking,Ing,narrative,participle,vowel,m,6,Italian
making,In,narrative,progressive,vowel,m,6,Italian
sitting,In,narrative,progressive,apical,m,6,Italian
telling,In,narrative,participle,0,m,6,Italian
trying,In,narrative,progressive,apical,m,6,Italian
doing,In,soapbox,progressive,apical,m,6,Italian
saying,Ing,soapbox,progressive,0,m,6,Italian
saying,Ing,soapbox,progressive,apical,m,6,Italian
saying,Ing,soapbox,progressive,labial,m,6,Italian
something,In,soapbox,thing,palatal,m,6,Italian
saying,In,soapbox,progressive,apical,m,6,Italian
something,Ing,narrative,thing,apical,m,6,Italian
having,Ing,narrative,gerund,labial,m,6,Italian
looking,In,narrative,participle,vowel,m,6,Italian
looking,In,narrative,progressive,vowel,m,6,Italian
hammering,In,narrative,progressive,vowel,m,6,Italian
looking,In,narrative,progressive,vowel,m,6,Italian
going,Ing,narrative,progressive,0,m,6,Italian
landing,Ing,narrative,noun,0,m,6,Italian
interesting,Ing,narrative,adjective,palatal,m,6,Italian
helping,In,narrative,progressive,0,m,6,Italian
postponing,Ing,narrative,progressive,vowel,m,6,Italian
hanging,In,narrative,participle,0,m,6,Italian
coming,In,narrative,participle,vowel,m,6,Italian
trying,In,narrative,progressive,apical,m,6,Italian
clipping,Ing,narrative,gerund,velar,m,6,Italian
working,In,narrative,progressive,0,m,6,Italian
saying,Ing,narrative,progressive,0,m,6,Italian
nothing,Ing,narrative,thing,vowel,m,6,Italian
leaving,Ing,narrative,progressive,vowel,m,6,Italian
going,Ing,narrative,progressive,apical,m,6,Italian
nothing,Ing,narrative,thing,0,m,6,Italian
trying,In,narrative,progressive,apical,m,6,Italian
paying,In,narrative,progressive,apical,m,6,Italian
taking,In,narrative,progressive,apical,m,6,Italian
saying,In,narrative,progressive,vowel,m,6,Italian
paying,In,narrative,progressive,vowel,m,6,Italian
nothing,Ing,response,thing,0,m,6,Italian
nothing,Ing,soapbox,thing,0,m,6,Italian
trying,In,soapbox,progressive,apical,m,6,Italian
saying,Ing,soapbox,progressive,apical,m,6,Italian
getting,Ing,soapbox,participle,labial,m,6,Italian
buying,Ing,soapbox,gerund,apical,m,6,Italian
getting,Ing,soapbox,participle,vowel,m,6,Italian
thinking,In,soapbox,progressive,labial,m,6,Italian
paying,In,narrative,progressive,vowel,m,6,Italian
helping,Ing,narrative,progressive,0,m,6,Italian
nothing,Ing,narrative,thing,apical,m,6,Italian
shopping,Ing,tangent,progressive,vowel,m,6,Italian
stacking,In,narrative,progressive,vowel,m,6,Italian
stuffing,In,narrative,progressive,vowel,m,6,Italian
something,Ing,narrative,thing,0,m,6,Italian
something,In,narrative,thing,0,m,6,Italian
making,Ing,narrative,progressive,0,m,6,Italian
putting,Ing,narrative,progressive,vowel,m,6,Italian
making,In,narrative,progressive,vowel,m,6,Italian
paying,Ing,narrative,progressive,apical,m,6,Italian
doing,Ing,narrative,progressive,apical,m,6,Italian
trying,Ing,narrative,progressive,apical,m,6,Italian
sleeping,In,narrative,progressive,vowel,m,6,Italian
sitting,In,narrative,progressive,apical,m,6,Italian
passing,In,narrative,progressive,vowel,m,6,Italian
getting,Ing,narrative,progressive,vowel,m,6,Italian
pouring,Ing,narrative,progressive,0,m,6,Italian
doing,In,narrative,progressive,0,m,6,Italian
saying,Ing,soapbox,progressive,labial,m,6,Italian
doing,Ing,soapbox,progressive,0,m,6,Italian
doing,In,soapbox,progressive,0,m,6,Italian
morning,Ing,tangent,noun,0,m,6,Italian
saying,Ing,soapbox,progressive,apical,m,6,Italian
coming,Ing,tangent,participle,labial,m,6,Italian
walking,Ing,tangent,progressive,apical,m,6,Italian
coming,In,tangent,participle,vowel,m,6,Italian
saying,Ing,soapbox,progressive,vowel,m,6,Italian
preaching,Ing,soapbox,progressive,apical,m,6,Italian
listening,Ing,soapbox,progressive,0,m,6,Italian
signing,Ing,tangent,progressive,vowel,m,6,Italian
bugging,In,narrative,progressive,labial,m,3,other
painting,Ing,narrative,noun,0,m,3,other
turning,Ing,narrative,progressive,vowel,m,3,other
getting,Ing,narrative,participle,0,m,3,other
having,In,narrative,participle,0,m,3,other
commissioning,Ing,narrative,participle,vowel,m,3,other
doing,In,group,progressive,0,m,3,other
printmaking,Ing,narrative,noun,velar,m,3,other
drawing,Ing,narrative,noun,vowel,m,3,other
painting,Ing,narrative,noun,vowel,m,3,other
printmaking,Ing,narrative,noun,0,m,3,other
mixing,Ing,tangent,participle,apical,m,3,other
doing,In,tangent,progressive,vowel,m,3,other
saying,Ing,careful,participle,apical,m,3,other
kissing,Ing,careful,progressive,labial,m,3,other
going,In,careful,progressive,vowel,m,3,other
telling,In,careful,progressive,apical,m,3,other
living,Ing,careful,noun,labial,m,3,other
something,In,careful,thing,apical,m,3,other
living,In,response,progressive,vowel,m,3,other
dating,Ing,narrative,participle,0,m,3,other
silkscreening,Ing,narrative,noun,0,m,3,other
living,Ing,narrative,progressive,apical,m,3,other
doing,Ing,narrative,progressive,labial,m,3,other
having,In,narrative,progressive,labial,m,3,other
going,Ing,narrative,progressive,apical,m,3,other
doing,In,narrative,progressive,vowel,m,3,other
parking,In,narrative,progressive,velar,m,3,other
nothing,In,narrative,thing,palatal,m,3,other
rewarding,Ing,narrative,adjective,0,m,3,other
driving,In,narrative,gerund,vowel,m,3,other
working,In,narrative,progressive,vowel,m,3,other
looking,In,narrative,progressive,vowel,m,3,other
driving,In,narrative,gerund,labial,m,3,other
stressing,In,narrative,progressive,labial,m,3,other
embarrassing,Ing,response,adjective,labial,m,3,other
dating,Ing,narrative,gerund,vowel,m,3,other
barring,Ing,careful,progressive,vowel,m,3,other
barring,Ing,careful,progressive,vowel,m,3,other
skiing,Ing,careful,gerund,palatal,m,3,other
something,In,careful,participle,vowel,m,3,other
living,In,narrative,progressive,vowel,m,3,other
living,Ing,narrative,noun,vowel,m,3,other
working,In,narrative,progressive,labial,m,3,other
building,Ing,narrative,noun,apical,m,3,other
something,In,narrative,thing,labial,m,3,other
hurting,In,narrative,progressive,vowel,m,3,other
