Country	LifeExp_Female	LifeExp_Male	Literacy_Female	Literacy_Male	Edu_Female	Edu_Male	Income_Female	Income_Male
Pakistan	65.2	64.7	39.6	67.7	34.4	43.9	1076	3569
Palau	72.3	68.2			91.2	82.4		
Panama	78	72.8	92.6	93.9	83.5	76.1	7728	12481
Papua New Guinea	60.2	54.4	52.6	62			1603	2287
Paraguay	73.6	69.4	92.8	94.3	72.2	72.1	3019	5021
Peru	73.6	68.5	83.5	94.2	89.9	86.4	5059	9096
Philippines	73.5	69.1	93.5	93.1	81.6	77.8	2394	3899
Poland	79.5	71.1	98.4	99	91.4	84.2	11084	18466
Portugal	81	74.7	92.9	96.3	91.6	86.2	15842	26061
Qatar	76.1	74.9	89.9	89.8	85	71.3	9935	40000
Romania	75.8	68.7	96.8	98.4	81.7	76.7	8648	12286
Russian Federation	72.3	58.7	98.6	99	86.1	78	10360	16474
Rwanda	47.3	44.2	59.8	71.4	52.4	52	696	952
Saint Kitts and Nevis	74.3	69.6			74.1	72.1		
Saint Lucia	75.2	71.5			83.4	75.2	6577	12589
Saint Vincent and the Grenadines	73.4	69.2			70.3	67.6	4900	9285
Samoa	74.5	68.1	98.4	98.9	76.3	72	2083	5430
San Marino	84.4	77.6						
Sao Tome and Principe	67	63.2	81.9	93.3	66.2	66.9	721	2359
Saudi Arabia	74.9	70.5	78.4	88.6			5938	35137
Senegal	64.7	60.7	31.5	52.7	39	43.3	1134	2051
Serbia	76.1	71.5	94.1	98.9	75.5	73.6	6752	12133
Seychelles	77.5	67.5	92.3	91.4	83.6	80.9		
Sierra Leone	43.7	40.5	25.7	49	37.6	51.7	396	872
Singapore	81.6	77.7	91.2	97.2	64.1	64.7	20775	40000
Slovakia	78.3	70.5	99	99	83.1	77.9	13311	22583
Slovenia	81.3	73.8	98.9	99	98.1	87.7	19246	31010
Solomon Islands	64.1	62.4			47.8	51.4	1054	2080
Somalia	48.7	46.3						
South Africa	51	49.1	86.7	88.5	77.3	76.3	5647	12637
Spain	84	77.4	96.3	98.5	99.9	93.3	20174	38280
Sri Lanka	75.8	68.2	89.1	92.7	71.9	67.5	2186	5636
Sudan	59.3	56.4	51.8	71.1	37.6	42.2	756	2999
Suriname	73.2	66.6	87.8	92.5	79.3	69.4	4194	10322
Swaziland	40.4	39.9	78.3	80.9	58.4	61.8	2424	7140
Sweden	82.8	78.4	99	99	99	89.8	30976	37067
Switzerland	83.9	78.7	99	99	81.4	84	26278	40000
Syrian Arab Republic	75.8	72	75.7	89.3	63.9	67.5	2143	6261
Tajikistan	69.2	63.9	98.7	99	64.3	77.4	1182	2041
Tanzania (United Republic of)	52.6	50.5	65.2	78.9	53.1	55.4	947	1307
Thailand	74.7	65.6	92.3	95.7	79.6	76.6	5860	9443
Timor-Leste	61	59.4			62.1	64.2	428	902
Togo	59.8	56.2	38.5	68.7	47.9	65.3	478	1112
Tonga	74	72	99	98.9	78.8	77.2	2354	4945
Trinidad and Tobago	71.4	67.4	98.2	99	62.2	59.9	13840	29699
Tunisia	75.8	71.7	68	85.8	78.9	73.6	3177	10663
Turkey	74.1	69.2	80.4	96	66.3	75.7	4959	17988
Turkmenistan	67.2	58.7	98.6	99			3461	5420
Tuvalu	67.1	63.6			70.8	67.8		
Uganda	51	49.8	64.1	81.2	61.6	62.9	735	1042
Ukraine	73.7	62	98.8	99	91.5	86.3	4648	8045
United Arab Emirates	81.2	77	88.7	90.3	72.3	60.1	10177	40000
United Kingdom	81.3	76.9	99	99	92.8	85.9	26863	38596
United States	80.6	75.4	99	99	96.9	88.1	25613	40000
Uruguay	79.6	72.4	98.1	97.4	96.3	85.6	7456	13097
Uzbekistan	70.1	63.7	95.8	98	71.7	74.7	1646	2727
Vanuatu	71.6	67.8	75.2	79.3	60.3	64.2	2829	4103
Venezuela (Bolivarian Republic of)	76.5	70.6	92.7	93.3	75.7	72.7	7781	14397
Viet Nam	75.9	72.1	86.9	93.9	60.7	63.9	1962	2761
Yemen	63.6	60.4	38.6	75.9	42.3	65.9	1038	3454
Zambia	41.2	41	59.8	76.3	60.7	66	897	1650
Zimbabwe	40.9	42.3	87.6	93.7	53.4	55.5		
