Word	Coda	Base	Morph	Boundary	freq
*AIN'T	closed	closed	NULL	x	1
*AMAZINGLY	open	closed	inflect	x	1
*CLAPER	?	?	?	?	1
*DRAY	final	free	NULL	b	1
*FAINTING	closed	closed	NULL	x	1
*FRIDGERATOR	open	closed	deriv	x	1
*OCCUPATION	open	closed	deriv	x	1
*ORGINATION	open	closed	deriv	x	1
*REPRETATION	open	closed	deriv	x	1
*SACRED	open	open	NULL	x	1
*SAME	closed	closed	NULL	x	1
*STAY	final	free	NULL	b	1
*THEYS	closed	free	inflect	b	1
A	final	free	NULL	b	1268
A'S	closed	free	inflect	b	7
ABATEMENT	closed	closed	NULL	x	3
ABATEMENTS	closed	closed	NULL	x	1
ABLE	open	open	NULL	x	84
ACCLIMATED	open	closed	inflect	x	1
ACCOMMODATE	closed	closed	NULL	x	1
ACCUMULATED	open	closed	inflect	x	1
ACE	closed	closed	NULL	x	3
ACES	open	closed	inflect	x	7
ACHE	closed	closed	NULL	x	3
ACHES	closed	closed	NULL	x	2
ACQUAINTANCE	?	?	?	?	1
ACQUAINTANCES	?	?	?	?	4
ACQUAINTED	closed	closed	NULL	x	2
ACRE	open	open	NULL	x	1
ACRES	open	open	NULL	x	6
ADEQUATE	closed	closed	NULL	x	1
ADJACENT	open	open	NULL	x	2
ADMINISTRATION	open	closed	deriv	x	7
ADMINISTRATIVE	open	closed	deriv	x	1
ADMINISTRATOR	open	closed	deriv	x	5
ADMINISTRATORS	open	closed	deriv	x	2
ADVOCATE	closed	closed	NULL	x	1
AFRAID	closed	closed	NULL	x	98
AGE	closed	closed	NULL	x	175
AGED	closed	closed	NULL	x	2
AGENCIES	open	open	NULL	x	2
AGENCY	open	open	NULL	x	5
AGENT	open	open	NULL	x	9
AGES	open	closed	inflect	x	4
AGGRAVATION	open	closed	deriv	x	4
AGITATE	closed	closed	NULL	x	1
AGITATION	open	closed	deriv	x	1
AGITATIONS	open	closed	deriv	x	2
AGITATORS	open	closed	deriv	x	1
AID	closed	closed	NULL	x	11
AID'S	closed	closed	NULL	x	1
AIDE	closed	closed	NULL	x	4
AIDS	closed	closed	NULL	x	5
AILS	closed	closed	NULL	x	1
AIN'	closed	closed	NULL	x	1
AIN'T	closed	?	?	?	126
AIRPLANE	closed	closed	NULL	x	6
AIRPLANES	closed	closed	NULL	x	4
ALBANIA	open	open	NULL	x	1
ALBANIANS	open	open	NULL	x	1
ALES	closed	closed	NULL	x	1
ALIEN	open	open	NULL	x	2
ALIENS	open	open	NULL	x	1
ALLAY	final	free	NULL	b	1
ALLEGHANY	open	open	NULL	x	3
ALLEGHENY	open	open	NULL	x	6
ALLEGRO'S	open	open	NULL	x	1
ALLEYWAY	final	free	NULL	b	7
ALLIGATOR	open	open	NULL	x	1
ALLOCATED	open	closed	inflect	x	1
ALTERNATE	closed	closed	NULL	x	1
ALWAYS	closed	?	?	?	107
ALWAYS'D	closed	closed	NULL	x	1
ALWAYSED*	closed	closed	NULL	x	1
AMAZED	closed	closed	NULL	x	12
AMAZEMENT	closed	closed	NULL	x	1
AMAZES	open	closed	inflect	x	1
AMAZING	open	closed	inflect	x	28
AME	closed	closed	NULL	x	1
AMY	open	open	NULL	x	1
ANCIENT	closed	closed	NULL	x	2
ANDRE	final	free	NULL	b	1
ANDREA	hiatus	hiatus	NULL	x	1
ANGEL	closed	closed	NULL	x	2
ANNIHILATED	open	closed	inflect	x	1
ANNUNCIATION	open	closed	deriv	x	10
ANQUIETA	?	?	?	?	1
ANTICIPATED	open	closed	inflect	x	1
ANYPLACE	closed	closed	NULL	x	1
ANYWAY	final	free	NULL	b	197
ANYWAYS	closed	free	inflect	b	6
AOL	hiatus	free	compound	x	1
APES	closed	closed	NULL	x	7
APPLICATION	open	closed	deriv	x	6
APPLICATIONS	open	open	NULL	x	4
APPRECIATE	closed	closed	NULL	x	8
APPRECIATED	open	closed	inflect	x	1
APPRECIATES	closed	closed	NULL	x	1
APPRECIATION	open	closed	deriv	x	3
APRIL	open	open	NULL	x	17
ARABIA	open	open	NULL	x	4
ARABIAN	open	closed	deriv	x	1
ARBITRATION	open	closed	deriv	x	1
ARCADES	closed	closed	NULL	x	1
ARRANGE	closed	closed	NULL	x	1
ARRANGEMENT	closed	closed	NULL	x	1
ARRANGEMENTS	closed	closed	NULL	x	4
ARRANGES	closed	closed	NULL	x	1
ARRANGING	closed	closed	NULL	x	1
ASHAMED	closed	closed	NULL	x	6
ASHTRAY	final	free	NULL	b	3
ASHTRAYS	closed	free	inflect	b	1
ASIA	open	open	NULL	x	1
ASIAN	open	open	NULL	x	16
ASIANS	open	open	NULL	x	8
ASSASSINATED	open	closed	inflect	x	1
ASSASSINATION	open	closed	deriv	x	1
ASSOCIATE	closed	closed	NULL	x	8
ASSOCIATED	open	closed	inflect	x	7
ASSOCIATIN'	open	closed	inflect	x	1
ASSOCIATION	open	closed	deriv	x	24
ASSOCIATIONS	open	closed	deriv	x	1
ATE	closed	closed	NULL	x	45
ATHEIST	open	open	NULL	x	1
AUSTRALIA	open	open	NULL	x	1
AUTHORITATIVE	open	closed	deriv	x	1
AVAILABLE	open	open	NULL	x	13
AVON	open	open	NULL	x	1
AWAIT	closed	closed	NULL	x	1
AWAKE	closed	closed	NULL	x	9
AWAY	final	free	NULL	b	531
AWAYS	closed	closed	NULL	x	1
BABE	closed	free	NULL	x	1
BABIED	open	open	NULL	x	2
BABIES	open	open	NULL	x	36
BABY	open	open	NULL	x	191
BABY'LL	open	open	NULL	x	1
BABY'S	open	open	NULL	x	11
BABYSIT	open	open	NULL	x	8
BABYSITS	open	open	NULL	x	2
BABYSITTED	open	open	NULL	x	1
BABYSITTER	open	open	NULL	x	8
BABYSITTERS	open	open	NULL	x	4
BABYSITTIN'	open	open	NULL	x	3
BABYSITTING	open	open	NULL	x	1
BACKACHE	closed	closed	NULL	x	1
BAGEL	open	open	NULL	x	2
BAGELS	open	open	NULL	x	1
BAIL	closed	closed	NULL	x	1
BAILED	closed	closed	NULL	x	1
BAILEY	open	open	NULL	x	1
BAILS	closed	closed	NULL	x	4
BAIN	closed	closed	NULL	x	2
BAINBRIDGE	closed	closed	NULL	x	2
BAKE	closed	closed	NULL	x	11
BAKED	closed	closed	NULL	x	7
BAKER	open	closed	deriv	x	5
BAKER'S	open	closed	deriv	x	4
BAKERIES	open	closed	deriv	x	2
BAKERS	open	closed	deriv	x	1
BAKERY	open	closed	deriv	x	10
BAKES	closed	closed	NULL	x	3
BAKING	open	closed	inflect	x	5
BALLET	final	free	NULL	b	6
BALLGAME	closed	closed	NULL	x	1
BARCLAY	final	free	NULL	b	1
BASE	closed	closed	NULL	x	64
BASEBALL	closed	closed	NULL	x	104
BASEBALL'S	closed	closed	NULL	x	1
BASEBALLS	closed	closed	NULL	x	1
BASEBOARD	closed	closed	NULL	x	1
BASED	closed	closed	NULL	x	9
BASEMAN	closed	closed	NULL	x	8
BASEMENT	closed	closed	NULL	x	50
BASEMENT'S	closed	closed	NULL	x	1
BASEMENTS	closed	closed	NULL	x	3
BASES	open	closed	inflect	x	8
BASI-	open	open	NULL	x	1
BASIC	open	closed	deriv	x	14
BASICALLY	open	open	NULL	x	115
BASIS	open	open	NULL	x	5
BASS	closed	closed	NULL	x	1
BATHE	closed	closed	NULL	x	1
BATHED	closed	closed	NULL	x	2
BATHING	open	closed	inflect	x	2
BAY	final	free	NULL	b	4
BAYVIEW	open	free	compound	b	1
BECAME	closed	closed	NULL	x	81
BEETHOVEN	open	open	NULL	x	1
BEHAVE	closed	closed	NULL	x	7
BEHAVIOR	open	closed	deriv	x	3
BENSALEM	open	open	NULL	x	1
BERETS	closed	free	inflect	b	1
BIRACIAL	open	closed	deriv	x	2
BIRTHDAY	final	free	NULL	b	41
BIRTHDAY'S	closed	free	inflect	b	3
BIRTHDAYS	closed	free	inflect	b	6
BLADE	closed	closed	NULL	x	4
BLADES	closed	closed	NULL	x	1
BLAME	closed	closed	NULL	x	37
BLAMED	closed	closed	NULL	x	27
BLAMIN'	open	closed	inflect	x	2
BLAMING	open	closed	inflect	x	1
BLAZER	open	open	NULL	x	1
BLAZES	open	closed	inflect	x	3
BOUQUET	final	free	NULL	b	2
BRACELET	open	closed	deriv	x	2
BRADY	open	open	NULL	x	5
BRAID	closed	closed	NULL	x	1
BRAIDED	open	closed	inflect	x	1
BRAIN	closed	closed	NULL	x	16
BRAINS	closed	closed	NULL	x	2
BRAINSTORM	closed	closed	NULL	x	1
BRAINWASHED	closed	closed	NULL	x	2
BRAKES	closed	closed	NULL	x	4
BRATED	open	closed	inflect	x	1
BRAVE	closed	closed	NULL	x	3
BRAVEST	open	closed	deriv	x	1
BREAK	closed	closed	NULL	x	113
BREAKDOWN	closed	closed	NULL	x	6
BREAKDOWNS	closed	closed	NULL	x	1
BREAKER	open	closed	deriv	x	1
BREAKIN'	open	closed	inflect	x	11
BREAKING	open	closed	inflect	x	8
BREAKS	closed	closed	NULL	x	20
BRICKFACE	closed	closed	NULL	x	1
BRIDESMAID	closed	closed	NULL	x	1
BRIDESMAIDS	closed	closed	NULL	x	1
BRIGADE	closed	closed	NULL	x	3
BRIGADE'S	closed	closed	NULL	x	1
BRIGADES	closed	closed	NULL	x	4
BROADWAY	final	free	NULL	b	1
BUFFET	final	free	NULL	b	3
CABARET	final	free	NULL	b	2
CABLE	open	open	NULL	x	9
CABLES	open	open	NULL	x	4
CACHE	final	free	NULL	b	2
CAGE	closed	closed	NULL	x	1
CAGES	open	closed	inflect	x	3
CAKE	closed	closed	NULL	x	29
CAKES	closed	closed	NULL	x	10
CALABRESE	open	open	NULL	x	1
CALCULATED	open	closed	inflect	x	1
CALCULATION	open	closed	deriv	x	1
CAMBRIDGE	closed	closed	NULL	x	7
CAME	closed	closed	NULL	x	834
CAMPAIGN	closed	closed	NULL	x	3
CANADIAN	open	open	NULL	x	1
CANDIDATES	closed	closed	NULL	x	1
CANE	closed	closed	NULL	x	7
CANES	closed	closed	NULL	x	2
CAPABLE	open	open	NULL	x	7
CAPADE	closed	closed	NULL	x	1
CAPE	closed	closed	NULL	x	13
CAPES	closed	closed	NULL	x	2
CARETAKER	open	closed	deriv	x	2
CARPATHIAN	open	open	NULL	x	1
CASE	closed	closed	NULL	x	53
CASES	open	closed	inflect	x	20
CASEY	open	open	NULL	x	4
CASEY'S	open	open	NULL	x	1
CASINGS	open	closed	inflect	x	2
CASTRATE	closed	closed	NULL	x	3
CATER	open	open	NULL	x	8
CATERED	open	open	NULL	x	6
CATERING	open	open	NULL	x	3
CAUCASIAN	open	open	NULL	x	3
CAVE	closed	closed	NULL	x	2
CAVED	closed	closed	NULL	x	3
CAVEMAN	closed	closed	NULL	x	1
CAVES	closed	closed	NULL	x	1
CELEBRATE	closed	closed	NULL	x	5
CELEBRATED	open	closed	inflect	x	4
CELEBRATING	open	closed	inflect	x	2
CELEBRATION	open	closed	deriv	x	2
CELEBRATIONS	open	closed	deriv	x	1
CERTIFICATION	open	closed	deriv	x	1
CHAIN	closed	closed	NULL	x	17
CHAINS	closed	closed	NULL	x	10
CHANGE	closed	closed	NULL	x	101
CHANGED	closed	closed	NULL	x	138
CHANGES	closed	closed	NULL	x	24
CHANGIN'	closed	closed	NULL	x	9
CHANGING	closed	closed	NULL	x	28
CHAOS	hiatus	hiatus	NULL	x	1
CHARADES	closed	closed	NULL	x	1
CHASE	closed	closed	NULL	x	25
CHASED	closed	closed	NULL	x	18
CHASES	open	closed	inflect	x	1
CHASIN'	open	closed	inflect	x	15
CHASING	open	closed	inflect	x	2
CHEESECAKE	closed	closed	NULL	x	2
CHEESESTEAK	closed	closed	NULL	x	11
CHENEY	open	open	NULL	x	1
CHEVROLET	final	free	NULL	b	1
CIRCULATION	open	closed	deriv	x	1
CITATIONS	open	closed	deriv	x	1
CLAIM	closed	closed	NULL	x	5
CLAIMED	closed	closed	NULL	x	5
CLAIMS	closed	closed	NULL	x	1
CLASSE	final	free	NULL	b	1
CLAY	final	free	NULL	b	2
CLICHE	final	free	NULL	b	1
COALDALE	closed	closed	NULL	x	2
COCAINE	closed	closed	NULL	x	1
COCKTAIL	closed	closed	NULL	x	2
COLLINGDALE	closed	closed	NULL	x	1
COMBINATION	open	closed	deriv	x	8
COMMENDATIONS	open	closed	deriv	x	1
COMMUNICATE	closed	closed	NULL	x	5
COMMUNICATES	closed	closed	NULL	x	1
COMMUNICATION	open	closed	deriv	x	4
COMMUNICATIONS	open	closed	deriv	x	3
COMPENSATION	open	closed	deriv	x	1
COMPLACENT	open	open	NULL	x	1
COMPLAIN	closed	closed	NULL	x	18
COMPLAINANT	open	closed	deriv	x	1
COMPLAINED	closed	closed	NULL	x	2
COMPLAININ'	open	closed	inflect	x	7
COMPLAINING	open	closed	inflect	x	4
COMPLAINS	closed	closed	NULL	x	2
COMPLAINT	closed	closed	NULL	x	3
COMPLAINTS	closed	closed	NULL	x	7
COMPLICATED	open	closed	inflect	x	1
CONCENTRATE	closed	closed	NULL	x	6
CONCENTRATED	open	closed	inflect	x	1
CONCENTRATIN'	open	closed	inflect	x	1
CONCENTRATING	open	closed	inflect	x	1
CONFIRMATION	open	closed	deriv	x	5
CONFISCATED	open	closed	inflect	x	1
CONFRONTATION	open	closed	deriv	x	1
CONGREGATE	closed	closed	NULL	x	4
CONGREGATED	open	closed	inflect	x	2
CONGREGATION	open	closed	deriv	x	7
CONGREGATIONS	open	closed	deriv	x	2
CONNOTATION	open	closed	deriv	x	1
CONSERVATION	open	open	NULL	x	7
CONSIDERATION	open	closed	deriv	x	1
CONTAGIOUS	open	?	?	?	1
CONTAIN	closed	closed	NULL	x	2
CONTAINER	open	closed	deriv	x	7
CONTAINERS	open	closed	deriv	x	1
CONTEMPLATES	closed	closed	NULL	x	1
CONTEMPLATIN'	open	closed	inflect	x	1
CONTINUATION	open	closed	deriv	x	2
CONVERSATION	open	closed	deriv	x	21
CONVERSATIONS	open	closed	deriv	x	4
CONVEYER	hiatus	free	deriv	b	1
COOPERATE	closed	closed	NULL	x	1
COOPERATION	open	closed	deriv	x	2
COORDINATE	closed	closed	NULL	x	1
COORDINATION	open	closed	deriv	x	2
COORDINATOR	open	closed	deriv	x	1
COORDINATORS	open	closed	inflect	x	3
CORONATION	open	closed	deriv	x	2
CORPORATION	open	closed	deriv	x	7
CORPORATIONS	open	closed	deriv	x	1
CRATE	closed	closed	NULL	x	1
CRATES	closed	closed	NULL	x	1
CRAVE	closed	closed	NULL	x	1
CRAYON	hiatus	hiatus	NULL	x	9
CRAYONS	hiatus	hiatus	NULL	x	2
CRAZE	closed	closed	NULL	x	1
CRAZIER	open	closed	deriv	x	3
CRAZIEST	open	open	NULL	x	1
CRAZY	open	open	NULL	x	111
CREATE	closed	closed	NULL	x	5
CREATED	open	closed	inflect	x	5
CREATES	closed	closed	NULL	x	1
CREATION	open	closed	deriv	x	1
CREATIVE	open	closed	deriv	x	2
CREATOR	open	closed	deriv	x	1
CREMATE	closed	closed	NULL	x	1
CREMATED	open	closed	inflect	x	1
CROCHET	final	free	NULL	b	6
CROCHETING	hiatus	free	inflect	b	1
CROQUET	final	free	NULL	b	1
CULMINATED	open	closed	inflect	x	1
DAGOS	open	open	NULL	x	1
DAGUS	open	open	NULL	x	1
DAILY	open	free	deriv	b	7
DALE	closed	closed	NULL	x	1
DALEY	open	open	NULL	x	2
DALMANES	closed	closed	NULL	x	1
DAME	closed	closed	NULL	x	1
DAMON	open	open	NULL	x	1
DANA'S	open	open	NULL	x	1
DANE	closed	closed	NULL	x	2
DANGER	open	open	NULL	x	1
DANGEROUS	closed	closed	NULL	x	14
DANISH	open	open	NULL	x	1
DANTE	final	free	NULL	b	1
DATA	open	open	NULL	x	6
DATABASE	?	?	?	?	1
DATE	closed	closed	NULL	x	56
DATED	open	closed	inflect	x	17
DATES	closed	closed	NULL	x	10
DATIN'	open	closed	inflect	x	4
DATING	open	closed	inflect	x	32
DAVE	closed	closed	NULL	x	13
DAVE'S	closed	closed	NULL	x	1
DAVID	open	open	NULL	x	39
DAVID'S	open	open	NULL	x	2
DAVIS	open	open	NULL	x	3
DAVY	open	open	NULL	x	2
DAY	final	free	NULL	b	712
DAY'S	closed	free	inflect	b	5
DAYCARE	open	free	compound	b	5
DAYLIGHT	open	free	compound	b	2
DAYS	closed	free	inflect	b	321
DAYS'	closed	free	inflect	b	1
DAYTIME	open	free	compound	b	2
DAYTONA	open	open	NULL	x	1
DEBATED	open	closed	inflect	x	1
DECAYNE	closed	closed	NULL	x	1
DECORATE	closed	closed	NULL	x	11
DECORATED	open	closed	inflect	x	5
DECORATES	closed	closed	NULL	x	2
DECORATING	open	closed	inflect	x	6
DECORATIONS	open	closed	deriv	x	7
DEDICATE	closed	closed	NULL	x	2
DEDICATED	open	closed	inflect	x	5
DEDICATION	open	closed	deriv	x	4
DELIBERATE	closed	closed	NULL	x	1
DEMARCATION	open	closed	deriv	x	2
DEMONSTRATION	open	closed	deriv	x	1
DEMONSTRATIONS	open	closed	deriv	x	2
DENOMINATION	open	closed	deriv	x	1
DENOMINATIONS	open	closed	deriv	x	1
DEORGANIZATION	open	closed	deriv	x	1
DESALINATION	open	closed	deriv	x	1
DESEGREGATE	closed	closed	NULL	x	1
DESEGREGATION	open	closed	deriv	x	5
DESIGNATE	closed	closed	NULL	x	1
DESIGNATED	open	closed	inflect	x	2
DESTINATION	open	closed	deriv	x	1
DETAIL	closed	closed	NULL	x	5
DETAILS	closed	closed	NULL	x	6
DETERIORATE	closed	closed	NULL	x	2
DETERIORATED	open	closed	inflect	x	1
DETERIORATING	open	closed	inflect	x	1
DETERMINATION	open	closed	deriv	x	2
DICTATE	closed	closed	NULL	x	1
DICTATED	open	closed	inflect	x	2
DICTATES	closed	closed	NULL	x	1
DICTATION	open	closed	deriv	x	1
DICTATOR	open	closed	deriv	x	1
DIEGO	open	open	NULL	x	4
DILAPIDATED	open	closed	inflect	x	1
DISABLED	open	open	NULL	x	2
DISCRIMINATED	open	closed	inflect	x	1
DISCRIMINATING	open	closed	inflect	x	1
DISCRIMINATION	open	closed	deriv	x	1
DISGRACE	closed	closed	NULL	x	8
DISGRACEFUL	closed	closed	NULL	x	2
DISINTEGRATED	open	closed	inflect	x	1
DISLOCATED	open	closed	inflect	x	5
DISOBEY	final	free	NULL	b	1
DISPLACE	closed	closed	NULL	x	1
DISPLAY	final	free	NULL	b	6
DISPLAYS	closed	free	inflect	b	1
DOMINATING	open	closed	inflect	x	1
DONATE	closed	closed	NULL	x	2
DONATED	open	closed	inflect	x	3
DONATION	open	closed	deriv	x	1
DONATIONS	open	closed	deriv	x	1
DOORWAY	final	free	NULL	b	7
DOORWAYS	closed	free	inflect	b	2
DRAGERS	open	open	NULL	x	2
DRAIN	closed	closed	NULL	x	6
DRAINS	closed	closed	NULL	x	1
DRAPES	closed	closed	NULL	x	7
DRAY	final	free	NULL	b	1
DRESSMAKER	open	closed	deriv	x	1
DRIVEWAY	final	free	NULL	b	7
DRYSDALE	closed	closed	NULL	x	2
EARTHQUAKES	closed	closed	NULL	x	1
EDUCATE	closed	closed	NULL	x	1
EDUCATED	open	closed	inflect	x	15
EDUCATIN'	open	closed	inflect	x	1
EDUCATION	open	closed	deriv	x	70
EDUCATIONAL	open	closed	deriv	x	3
EDUCATIONS	open	closed	deriv	x	1
EIGHT	closed	closed	NULL	x	387
EIGHT'S	closed	closed	NULL	x	1
EIGHTEEN	open	closed	deriv	x	123
EIGHTEENS	open	closed	deriv	x	1
EIGHTEENTH	open	closed	deriv	x	10
EIGHTH	closed	closed	NULL	x	126
EIGHTIES	open	closed	inflect	x	8
EIGHTIETH	open	closed	deriv	x	1
EIGHTY	open	closed	deriv	x	96
ELAINE	closed	closed	NULL	x	11
ELATED	open	closed	inflect	x	1
ELEVATED	open	closed	inflect	x	1
ELEVATOR	open	closed	deriv	x	9
ELEVATORS	open	closed	deriv	x	1
ELIMINATE	closed	closed	NULL	x	2
ELIMINATING	open	closed	inflect	x	1
EMAILED	closed	closed	NULL	x	1
EMAILING	open	closed	inflect	x	1
ENGAGE	closed	closed	NULL	x	1
ENGAGED	closed	closed	NULL	x	26
ENGAGEMENT	closed	closed	NULL	x	7
ENGAGING	open	closed	inflect	x	1
ENTAIL	closed	closed	NULL	x	1
