Word	Coda	Base	Morph	Boundary	freq
INCLINATION	open	closed	deriv	x	1
INCORPORATED	open	closed	inflect	x	2
INCORPORATING	open	closed	inflect	x	1
INDENTATION	open	closed	deriv	x	1
INDICATED	open	closed	inflect	x	1
INDICATES	closed	closed	NULL	x	1
INFILTRATING	open	closed	inflect	x	1
INFLATION	open	closed	deriv	x	3
INFORMATION	open	closed	deriv	x	26
INFURIATED	open	closed	inflect	x	2
INHALE	closed	closed	NULL	x	1
INNATE	closed	closed	NULL	x	1
INSPIRATION	open	closed	deriv	x	1
INSULATED	open	closed	inflect	x	1
INSULATION	open	closed	deriv	x	1
INTAKING	open	closed	inflect	x	1
INTEGRATED	open	closed	inflect	x	6
INTEGRATING	open	closed	inflect	x	1
INTEGRATION	open	closed	deriv	x	2
INTERCHANGEABLY	closed	closed	NULL	x	1
INTERPRETATION	open	open	NULL	x	2
INTERRACIAL	open	closed	deriv	x	7
INTERSTATE	closed	closed	NULL	x	6
INTIMIDATE	closed	closed	NULL	x	1
INTIMIDATED	open	closed	inflect	x	4
INTIMIDATING	open	closed	inflect	x	1
INTIMIDATION	open	closed	deriv	x	2
INVADED	open	closed	inflect	x	2
INVESTIGATE	closed	closed	NULL	x	4
INVESTIGATING	open	closed	inflect	x	1
INVESTIGATION	open	closed	deriv	x	1
INVESTIGATIVE	open	closed	deriv	x	1
INVESTIGATOR	open	closed	deriv	x	1
INVITATION	open	closed	deriv	x	1
INVITATIONS	open	closed	deriv	x	1
IRANIAN	open	closed	deriv	x	1
IRRITATE	closed	closed	NULL	x	2
ISOLATED	open	closed	inflect	x	2
J	final	free	NULL	b	14
J'S	closed	free	inflect	b	3
JACQUE	?	?	?	?	1
JADED	open	closed	inflect	x	1
JAIL	closed	closed	NULL	x	23
JAILBREAK	closed	closed	NULL	x	4
JAKE	closed	closed	NULL	x	4
JAMAICA	open	open	NULL	x	2
JAMES	closed	closed	NULL	x	17
JAMESTOWN	closed	closed	NULL	x	1
JAMIE	open	open	NULL	x	4
JANE	closed	closed	NULL	x	6
JASON	open	open	NULL	x	9
JASON'S	open	open	NULL	x	2
JAY	final	free	NULL	b	1
JUDEO	hiatus	hiatus	NULL	x	1
K	final	free	NULL	b	59
KALI	open	open	NULL	x	2
KARPATHIANS	open	open	NULL	x	1
KATEN	open	open	NULL	x	1
KAY	final	free	NULL	b	9
KAYLEE	open	open	NULL	x	4
LABEL	open	open	NULL	x	2
LABELED	open	open	NULL	x	3
LABELLED	open	open	NULL	x	1
LABOR	open	open	NULL	x	16
LABOR'	open	open	NULL	x	1
